"english_source","preferred_id","alternate_or_adverse","decision_status","semantic_constraint","authority_evidence","evidence_locator","evidence_sha256_or_access","decision_date"
"set","himpunan","set (untranslated)","admit","Use for a mathematical collection treated as one object.","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\malay_sea_pacific\02_native_comparator_canon\id\20260812\sources\ui_himpunan_1_2020.pdf | C:\Users\Floris\Documents\interlanguage\03_projects\language_management\malay_sea_pacific\02_native_comparator_canon\id\20260812\sources\ut_kalkulus_1.pdf","UI Himpunan 1; UT Kalkulus 1, Kegiatan Belajar 1: Himpunan dan Himpunan Bagian","51d7949d7f1dd4f9035022d40c8b9acea18c682ea06e3964a497213836bba70f | d9d1462c515560851deb35c94a0b337c14353bfd4bba8f866ba6a5c4a7fff92c","2026-08-12"
"element; member","anggota","elemen","admit_with_synonym","Use anggota as the running OLP token; elemen remains a recognized synonym and is not silently assigned a different set-theoretic role.","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\malay_sea_pacific\02_native_comparator_canon\id\20260812\sources\ui_himpunan_1_2020.pdf | C:\Users\Floris\Documents\interlanguage\03_projects\language_management\malay_sea_pacific\02_native_comparator_canon\id\20260812\sources\ut_kalkulus_1.pdf","UI: Objek dalam himpunan disebut elemen atau anggota; UT: objek disebut anggota himpunan","51d7949d7f1dd4f9035022d40c8b9acea18c682ea06e3964a497213836bba70f | d9d1462c515560851deb35c94a0b337c14353bfd4bba8f866ba6a5c4a7fff92c","2026-08-12"
"extensionality","ekstensionalitas","prinsip kesamaan himpunan","admit_source_bound","Retain the named principle that sets are identical exactly when they have the same members; do not reduce it to a vague claim about similarity.","Open Logic upstream source at commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0 | C:\Users\Floris\Documents\interlanguage\03_projects\language_management\malay_sea_pacific\02_native_comparator_canon\id\20260812\sources\ut_kalkulus_1.pdf","basics.tex definition; UT equality criterion at extracted-text lines 120-121","9620cc73f9c8e0ad003c514a5d3748f29611c4c0 | d9d1462c515560851deb35c94a0b337c14353bfd4bba8f866ba6a5c4a7fff92c","2026-08-12"
"empty set","himpunan kosong","himpunan nihil","admit","Keep distinct from a nonempty set whose members happen to be empty sets.","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\malay_sea_pacific\02_native_comparator_canon\id\20260812\sources\ut_kalkulus_1.pdf","UT Kalkulus 1 set-theory terminology and summary","d9d1462c515560851deb35c94a0b337c14353bfd4bba8f866ba6a5c4a7fff92c","2026-08-12"
"subset","himpunan bagian","subhimpunan","admit_with_synonym","Prefer the sustained UT textbook form; recognize UI's subhimpunan as an exact synonym and never confuse membership with inclusion.","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\malay_sea_pacific\02_native_comparator_canon\id\20260812\sources\ui_himpunan_1_2020.pdf | C:\Users\Floris\Documents\interlanguage\03_projects\language_management\malay_sea_pacific\02_native_comparator_canon\id\20260812\sources\ut_kalkulus_1.pdf","UI Himpunan 1 heading Subhimpunan; UT Kalkulus 1 Definition 1.3","51d7949d7f1dd4f9035022d40c8b9acea18c682ea06e3964a497213836bba70f | d9d1462c515560851deb35c94a0b337c14353bfd4bba8f866ba6a5c4a7fff92c","2026-08-12"
"proper subset","himpunan bagian sejati","subhimpunan proper","admit","Reserve for A subseteq B together with A not equal to B; do not use the term for ordinary inclusion.","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\malay_sea_pacific\02_native_comparator_canon\id\20260812\sources\ut_kalkulus_1.pdf","UT Kalkulus 1 summary lists himpunan bagian sejati separately","d9d1462c515560851deb35c94a0b337c14353bfd4bba8f866ba6a5c4a7fff92c","2026-08-12"
"power set","himpunan kuasa","himpunan pangkat","admit","Means the set of all subsets, not exponentiation of individual numbers.","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\malay_sea_pacific\02_native_comparator_canon\id\20260812\sources\ut_kalkulus_1.pdf | C:\Users\Floris\Documents\interlanguage\03_projects\language_management\malay_sea_pacific\02_native_comparator_canon\id\20260812\sources\ut_struktur_aljabar.pdf","UT Kalkulus 1 lines 223-235; UT Struktur Aljabar line 294","d9d1462c515560851deb35c94a0b337c14353bfd4bba8f866ba6a5c4a7fff92c | 857d6c42ccb6a706d0b04bf8efdfc4fe9c23e57336ad2a08f13388adf60119b7","2026-08-12"
"union","gabungan","union","admit","Use for membership in A or B or both; Indonesian atau remains inclusive in the formal definition.","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\malay_sea_pacific\02_native_comparator_canon\id\20260812\sources\ut_kalkulus_1.pdf | C:\Users\Floris\Documents\interlanguage\03_projects\language_management\malay_sea_pacific\02_native_comparator_canon\id\20260812\sources\ut_struktur_aljabar.pdf","UT Kalkulus 1 Definition 1.5; UT Struktur Aljabar operations list","d9d1462c515560851deb35c94a0b337c14353bfd4bba8f866ba6a5c4a7fff92c | 857d6c42ccb6a706d0b04bf8efdfc4fe9c23e57336ad2a08f13388adf60119b7","2026-08-12"
"intersection","irisan","interseksi","admit_with_synonym","Prefer irisan; interseksi is recorded as a comparator synonym, not a distinct operation.","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\malay_sea_pacific\02_native_comparator_canon\id\20260812\sources\ut_kalkulus_1.pdf | C:\Users\Floris\Documents\interlanguage\03_projects\language_management\malay_sea_pacific\02_native_comparator_canon\id\20260812\sources\ut_struktur_aljabar.pdf","UT Kalkulus 1 operations; UT Struktur Aljabar Definition 1.3","d9d1462c515560851deb35c94a0b337c14353bfd4bba8f866ba6a5c4a7fff92c | 857d6c42ccb6a706d0b04bf8efdfc4fe9c23e57336ad2a08f13388adf60119b7","2026-08-12"
"disjoint","saling asing","saling lepas","admit_with_synonym","Both comparator forms are established; use saling asing consistently for empty intersection.","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\malay_sea_pacific\02_native_comparator_canon\id\20260812\sources\ut_kalkulus_1.pdf | C:\Users\Floris\Documents\interlanguage\03_projects\language_management\malay_sea_pacific\02_native_comparator_canon\id\20260812\sources\ut_struktur_aljabar.pdf","UT Kalkulus 1 Theorem 1.2; UT Struktur Aljabar lists saling asing/saling lepas","d9d1462c515560851deb35c94a0b337c14353bfd4bba8f866ba6a5c4a7fff92c | 857d6c42ccb6a706d0b04bf8efdfc4fe9c23e57336ad2a08f13388adf60119b7","2026-08-12"
